"STRATUM","SCHOOLID","StIDStd","BIRTHMONTH","BIRTHYEAR","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV1MATH_LEVEL","PV2MATH_LEVEL","PV3MATH_LEVEL","PV4MATH_LEVEL","PV5MATH_LEVEL","STATE","GEOLOC","GENDER","INDIG","ESCS_Q","ST29Q01","ST29Q03","ST29Q04","ST29Q06","ST29Q02","ST29Q05","ST29Q07","ST29Q08","ST42Q02","ST42Q04","ST42Q06","ST42Q07","ST42Q09","ST37Q01","ST37Q02","ST37Q03","ST37Q04","ST37Q05","ST37Q06","ST37Q07","ST37Q08","ST91Q01","ST91Q02","ST91Q03","ST91Q04","ST91Q05","ST91Q06","ST43Q01","ST43Q02","ST43Q03","ST43Q04","ST43Q05","ST43Q06","ST44Q01","ST44Q03","ST44Q04","ST44Q05","ST44Q07","ST44Q08","ST42Q01","ST42Q03","ST42Q05","ST42Q08","ST42Q10","ST35Q01","ST35Q02","ST35Q03","ST35Q04","ST35Q05","ST35Q06"
"AUS0309",1,6,7,1996,0.78,586.7035,644.3449,642.0081,627.2083,629.5451,5,6,6,6,6,"NSW","Provincial","Female","Non-indigenous",3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,1,4,2,3,3,3,1,4,4,3,3,4,4,4,3,4,4,4,4,3,2,4,1,1,2
"AUS0309",1,7,8,1996,1.21,659.2226,656.8858,694.2748,636.6334,662.3384,6,6,7,6,6,"NSW","Provincial","Female","Non-indigenous",4,4,4,4,3,3,1,3,1,3,2,3,3,2,1,1,1,1,1,2,1,2,1,1,3,3,2,4,1,2,3,3,2,3,2,3,3,2,2,3,2,2,3,4,2,3,3,4,2,3,3
"AUS0309",1,8,7,1996,0.96,656.029,670.0499,641.2292,623.3136,606.177,6,7,6,6,5,"NSW","Provincial","Male","Non-indigenous",4,2,2,3,2,1,1,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,2,4,4,1,4,1,3,4,4,1,4,4,2,3,3,4,3,3,4,4,4,3,2,2,3,1,1,2
"AUS0309",1,9,12,1996,1.1,487.1553,417.0509,485.5974,521.4286,426.3982,4,2,4,4,3,"NSW","Provincial","Male","Non-indigenous",4,4,1,1,1,1,1,1,1,3,2,2,2,2,2,2,1,1,1,3,1,3,1,1,3,3,1,4,1,1,3,3,1,3,2,2,1,2,1,2,3,2,3,3,2,1,1,1,1,1,1
"AUS0309",1,14,12,1996,1.1,604.7749,569.7227,577.5121,593.8698,600.8802,5,5,5,5,5,"NSW","Provincial","Female","Non-indigenous",4,3,2,2,2,1,1,1,2,4,1,1,1,2,1,2,2,3,1,3,1,2,1,1,4,3,1,4,1,1,4,3,1,4,4,4,3,4,3,2,3,4,4,4,2,3,2,3,2,2,2
"AUS0309",1,15,12,1996,0.72,519.4033,539.6557,541.2136,498.372,521.7401,4,4,4,4,4,"NSW","Provincial","Female","Non-indigenous",3,3,3,3,3,2,2,2,2,3,2,2,3,2,1,1,1,1,1,1,1,3,2,2,2,3,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,2,3
"AUS0205",2,17,6,1996,1.29,520.6496,441.198,480.9238,543.2388,487.9343,4,3,3,4,4,"VIC","Urban","Female","Non-indigenous",4,2,2,1,1,1,1,1,1,4,2,2,3,3,1,1,1,1,1,1,1,2,1,1,3,4,1,4,1,1,3,3,1,4,4,2,4,3,2,4,3,4,3,4,3,2,2,3,1,1,2
"AUS0205",2,19,12,1996,-0.04,608.5138,604.6191,571.9037,567.2301,548.5356,6,5,5,5,5,"VIC","Urban","Female","Non-indigenous",2,3,3,2,2,1,1,2,1,3,2,2,3,1,2,1,3,1,1,3,3,1,1,4,4,3,1,3,1,1,4,4,1,3,4,3,2,4,4,4,3,4,4,4,2,2,1,3,1,2,1
"AUS0205",2,29,6,1996,0.79,414.7141,414.7141,420.9456,413.9352,476.2502,2,2,3,2,3,"VIC","Urban","Male","Non-indigenous",3,4,3,4,4,3,3,4,3,1,3,3,4,4,3,3,3,3,3,3,3,3,1,1,3,3,2,3,2,2,3,3,2,3,2,4,3,2,3,2,1,3,3,2,2,2,2,3,2,3,2
"AUS0205",2,34,2,1997,0.08,476.8733,490.8942,451.1684,420.7898,458.1788,3,4,3,3,3,"VIC","Urban","Male","Non-indigenous",2,3,3,4,3,2,2,3,4,3,2,1,1,1,2,2,2,2,2,2,2,2,1,2,3,3,1,1,2,2,3,2,3,2,1,4,3,4,2,2,3,4,4,4,3,3,3,4,2,3,3
"AUS0205",2,35,5,1996,-0.16,423.9835,405.289,383.4787,438.0044,438.7833,3,2,2,3,3,"VIC","Urban","Female","Non-indigenous",2,4,4,4,3,2,2,2,2,1,4,3,4,4,3,3,4,4,4,4,4,4,1,2,2,2,3,1,3,2,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,3,3,3
"AUS0102",3,37,11,1996,0.62,633.3619,698.7926,658.2879,669.193,674.6456,6,7,6,7,7,"ACT","Urban","Male","Non-indigenous",3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2
"AUS0102",3,41,3,1997,-0.28,615.5242,697.3127,646.6817,673.1656,670.0499,6,7,6,7,7,"ACT","Urban","Female","Non-indigenous",2,3,3,3,3,3,3,4,3,3,3,3,3,3,1,1,1,1,1,2,1,2,2,3,3,3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3
"AUS0102",3,42,1,1997,0.38,524.4664,552.5082,547.8346,567.308,512.0034,4,5,5,5,4,"ACT","Urban","Male","Non-indigenous",3,4,4,4,4,4,4,4,4,1,4,4,4,3,1,2,2,2,2,3,2,3,2,2,3,2,2,2,3,2,3,2,3,2,2,3,3,2,1,4,2,3,3,2,2,3,3,4,2,3,3
"AUS0102",3,48,7,1996,0.87,710.8662,704.6347,707.7504,738.9079,770.8444,7,7,7,7,7,"ACT","Urban","Male","Non-indigenous",4,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,3,1,4,1,1,2,3,1,3,2,3,4,2,2,3,3,3,3,4,3,2,2,3,2,2,2
"AUS0102",3,50,4,1997,0.97,686.4854,662.3384,667.012,640.5281,631.9598,7,6,6,6,6,"ACT","Urban","Male","Non-indigenous",4,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,4,4,1,4,4,4,1,4,4,1,4,4,4,4,4,2,2,3,1,1,1
"AUS0102",3,53,1,1997,1.21,631.1809,599.2444,624.9494,604.697,638.1913,6,5,6,5,6,"ACT","Urban","Male","Non-indigenous",4,2,2,3,2,2,2,3,2,3,2,2,3,3,1,1,1,1,1,1,2,2,1,2,3,3,1,3,1,1,4,4,1,4,2,3,3,3,4,2,3,3,3,3,3,2,2,3,1,2,2
"AUS0102",3,54,7,1996,0.93,536.54,534.9821,520.1823,520.9612,545.8872,4,4,4,4,5,"ACT","Urban","Male","Non-indigenous",4,2,2,2,1,2,1,1,1,3,2,3,3,2,2,2,3,2,2,1,2,2,1,2,3,3,1,3,1,1,4,3,1,3,2,2,2,3,2,3,2,3,3,3,2,2,2,3,1,1,1
"AUS0102",3,59,6,1996,0.73,582.2636,559.6744,558.8955,589.274,578.3689,5,5,5,5,5,"ACT","Urban","Female","Non-indigenous",3,1,2,2,2,1,2,2,2,3,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,3,1,1,3,2,2,3,1,2,3,2,2,4,3,3,3,3,3,2,2,3,2,2,1
"AUS0514",4,64,4,1997,-0.45,449.9221,481.0796,490.4269,487.3111,481.0796,3,3,4,4,3,"SA","Urban","Female","Non-indigenous",1,4,4,4,4,2,2,3,2,2,3,3,4,4,2,3,2,2,2,3,2,3,2,2,3,3,2,3,2,2,3,2,2,2,2,2,3,1,1,2,2,2,2,3,2,2,2,3,2,3,3
"AUS0514",4,68,4,1997,-0.53,501.4878,476.5618,436.836,452.4147,457.0883,4,3,3,3,3,"SA","Urban","Female","Non-indigenous",1,3,3,3,3,2,2,3,2,3,3,3,3,3,1,3,2,2,2,2,2,3,2,3,3,3,2,3,2,2,3,3,2,3,2,3,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2
"AUS0514",4,72,2,1997,-0.42,368.7568,356.2938,315.7891,297.0946,356.2938,2,1,1,1,1,"SA","Urban","Male","Non-indigenous",1,2,3,2,3,3,3,2,3,4,4,4,4,4,2,3,1,3,1,3,1,2,2,2,2,3,2,3,1,1,1,1,1,1,3,1,4,4,4,3,4,4,4,4,4,1,3,2,3,2,3
"AUS0514",4,74,3,1997,-1.18,321.1637,382.6998,356.9949,399.8364,328.1742,1,2,1,2,1,"SA","Urban","Female","Indigenous",1,3,3,3,3,3,3,3,3,2,4,3,4,4,3,2,3,3,2,3,2,3,2,2,1,2,2,3,2,2,1,3,2,4,2,2,2,2,2,1,2,3,3,2,3,3,3,3,3,3,4
"AUS0514",4,76,10,1996,-0.85,339.1572,352.3991,312.6733,339.9361,311.8944,1,1,1,1,1,"SA","Urban","Female","Non-indigenous",1,3,3,3,3,3,3,2,2,1,3,4,4,4,1,2,2,3,2,3,2,4,3,2,2,2,1,1,3,3,2,2,1,1,4,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2
