TableNumber_	Command_	Subtype_	Label_	variable	value	Label
1	File Information	Variable Values	Variable Values	CNT	ALB	Albania
1	File Information	Variable Values	Variable Values	CNT	ARE	United Arab Emirates
1	File Information	Variable Values	Variable Values	CNT	ARG	Argentina
1	File Information	Variable Values	Variable Values	CNT	AUS	Australia
1	File Information	Variable Values	Variable Values	CNT	AUT	Austria
1	File Information	Variable Values	Variable Values	CNT	BEL	Belgium
1	File Information	Variable Values	Variable Values	CNT	BGR	Bulgaria
1	File Information	Variable Values	Variable Values	CNT	BRA	Brazil
1	File Information	Variable Values	Variable Values	CNT	CAN	Canada
1	File Information	Variable Values	Variable Values	CNT	CHE	Switzerland
1	File Information	Variable Values	Variable Values	CNT	CHL	Chile
1	File Information	Variable Values	Variable Values	CNT	COL	Colombia
1	File Information	Variable Values	Variable Values	CNT	CRI	Costa Rica
1	File Information	Variable Values	Variable Values	CNT	CZE	Czech Republic
1	File Information	Variable Values	Variable Values	CNT	DEU	Germany
1	File Information	Variable Values	Variable Values	CNT	DNK	Denmark
1	File Information	Variable Values	Variable Values	CNT	ESP	Spain
1	File Information	Variable Values	Variable Values	CNT	EST	Estonia
1	File Information	Variable Values	Variable Values	CNT	FIN	Finland
1	File Information	Variable Values	Variable Values	CNT	FRA	France
1	File Information	Variable Values	Variable Values	CNT	GBR	United Kingdom
1	File Information	Variable Values	Variable Values	CNT	GRC	Greece
1	File Information	Variable Values	Variable Values	CNT	HKG	Hong Kong-China
1	File Information	Variable Values	Variable Values	CNT	HRV	Croatia
1	File Information	Variable Values	Variable Values	CNT	HUN	Hungary
1	File Information	Variable Values	Variable Values	CNT	IDN	Indonesia
1	File Information	Variable Values	Variable Values	CNT	IRL	Ireland
1	File Information	Variable Values	Variable Values	CNT	ISL	Iceland
1	File Information	Variable Values	Variable Values	CNT	ISR	Israel
1	File Information	Variable Values	Variable Values	CNT	ITA	Italy
1	File Information	Variable Values	Variable Values	CNT	JOR	Jordan
1	File Information	Variable Values	Variable Values	CNT	JPN	Japan
1	File Information	Variable Values	Variable Values	CNT	KAZ	Kazakhstan
1	File Information	Variable Values	Variable Values	CNT	KOR	Korea
1	File Information	Variable Values	Variable Values	CNT	LIE	Liechtenstein
1	File Information	Variable Values	Variable Values	CNT	LTU	Lithuania
1	File Information	Variable Values	Variable Values	CNT	LUX	Luxembourg
1	File Information	Variable Values	Variable Values	CNT	LVA	Latvia
1	File Information	Variable Values	Variable Values	CNT	MAC	Macao-China
1	File Information	Variable Values	Variable Values	CNT	MEX	Mexico
1	File Information	Variable Values	Variable Values	CNT	MNE	Montenegro
1	File Information	Variable Values	Variable Values	CNT	MYS	Malaysia
1	File Information	Variable Values	Variable Values	CNT	N/A	Not applicable
1	File Information	Variable Values	Variable Values	CNT	NLD	Netherlands
1	File Information	Variable Values	Variable Values	CNT	NOR	Norway
1	File Information	Variable Values	Variable Values	CNT	NZL	New Zealand
1	File Information	Variable Values	Variable Values	CNT	PER	Peru
1	File Information	Variable Values	Variable Values	CNT	POL	Poland
1	File Information	Variable Values	Variable Values	CNT	PRT	Portugal
1	File Information	Variable Values	Variable Values	CNT	QAT	Qatar
1	File Information	Variable Values	Variable Values	CNT	QCN	Shanghai-China
1	File Information	Variable Values	Variable Values	CNT	QRS	Perm(Russian Federation)
1	File Information	Variable Values	Variable Values	CNT	ROU	Romania
1	File Information	Variable Values	Variable Values	CNT	RUS	Russian Federation
1	File Information	Variable Values	Variable Values	CNT	SGP	Singapore
1	File Information	Variable Values	Variable Values	CNT	SRB	Serbia
1	File Information	Variable Values	Variable Values	CNT	SVK	Slovak Republic
1	File Information	Variable Values	Variable Values	CNT	SVN	Slovenia
1	File Information	Variable Values	Variable Values	CNT	SWE	Sweden
1	File Information	Variable Values	Variable Values	CNT	TAP	Chinese Taipei
1	File Information	Variable Values	Variable Values	CNT	THA	Thailand
1	File Information	Variable Values	Variable Values	CNT	TUN	Tunisia
1	File Information	Variable Values	Variable Values	CNT	TUR	Turkey
1	File Information	Variable Values	Variable Values	CNT	URY	Uruguay
1	File Information	Variable Values	Variable Values	CNT	USA	United States of America
1	File Information	Variable Values	Variable Values	CNT	VNM	Viet Nam
1	File Information	Variable Values	Variable Values	SUBNATIO	0080000	Albania
