"Feature","Gain","Cover","Frequency"
"ST37Q05",0.198495893125044,0.0239017541529337,0.0168863616782976
"ESCS",0.109926177293247,0.13496393089052,0.132282243473766
"ST37Q03",0.054296392364867,0.0196178558904026,0.0177823727061256
"ST37Q02",0.0501441189970163,0.0182741828981952,0.0157491169122081
"ST43Q06",0.0276499223166786,0.0127256867774664,0.0139743258378565
"STATE",0.027057000866501,0.0478141552489473,0.0472301197553201
"ST42Q02",0.0251136454721887,0.0153357129347035,0.013819247006117
"ST91Q06",0.024313186407291,0.0185221991209136,0.01779960368743
"ST37Q01",0.0230726809604375,0.023814506770722,0.0196950116309124
"INDIG",0.0205563410499165,0.0149425242043144,0.0122167657448092
"ST42Q08",0.0182204241079409,0.013808135582432,0.0153872663048161
"ST37Q06",0.0180376292058008,0.0186265391630968,0.0174205220987335
"ST44Q03",0.0174354824473229,0.0236327893503175,0.0226932023778754
"ST35Q03",0.0162700681889131,0.0196560697834029,0.0196605496683036
"ST37Q04",0.0156442084305754,0.0139081592963395,0.016145429482209
"ST44Q08",0.0142175006116654,0.0230679258566451,0.0220039631257
"ST42Q07",0.0135064127585852,0.0241721865071636,0.0190746963039545
"ST29Q03",0.0128106843563552,0.0206823199942196,0.0183509950891703
"ST43Q03",0.0120366437685287,0.0178650813042298,0.0186611527526493
"ST42Q05",0.0117796588879467,0.0111436949133999,0.0133023175669854
"ST42Q04",0.0113790107401359,0.0176514518301074,0.0148875678469889
"ST37Q07",0.0111839049685216,0.0143803943852166,0.0137330920995951
"ST44Q07",0.0110565087411918,0.0230066052196092,0.0211768760230895
"ST44Q01",0.010967623575376,0.0187952788231525,0.0190230033600414
"ST91Q04",0.0105232331884369,0.0161789220511111,0.0171448263978634
"ST35Q06",0.010504274928768,0.0169890680929273,0.018247609201344
"ST91Q03",0.0103165078659023,0.0151090481491886,0.0182303782200396
"ST91Q05",0.0101626229716453,0.0129092746067904,0.0135263203239424
"ST37Q08",0.0101127444458411,0.0156491359185588,0.0184371499956923
"ST43Q04",0.0100435719221005,0.0170230519842175,0.0178512966313432
"ST29Q01",0.00949340684933806,0.014436851959062,0.0165589730335143
"ST44Q05",0.00948814679494058,0.0148652043771367,0.0175583699491686
"ST29Q08",0.00944176287942064,0.0211155930265285,0.0158697337813388
"ST44Q04",0.00914417289064122,0.0143278790578629,0.0172137503230809
"ST43Q02",0.0089953160642668,0.0130827622279494,0.0154389592487292
"ST91Q02",0.00878713277509417,0.0142241433016383,0.0156457310243818
"ST35Q01",0.00796039062486223,0.0111302855202236,0.0134401654174205
"ST42Q10",0.00790746242348779,0.0135603495638883,0.0157835788748169
"ST43Q05",0.0078108181054018,0.0108887150143968,0.012389075557853
"ST91Q01",0.00776453805763742,0.0125145895492657,0.0139570948565521
"ST29Q06",0.00773706894632171,0.0120706120228331,0.0132678556043767
"ST35Q04",0.00764527755249028,0.0172778304545678,0.0137675540622038
"ST42Q01",0.00762097935465792,0.011305470897171,0.0139915568191609
"ST29Q05",0.00732235933173721,0.0180359503529016,0.0137330920995951
"ST35Q05",0.00732077396908971,0.0182212934890576,0.013061083828724
"ST35Q02",0.00728231254665276,0.012479799943364,0.0141810976135091
"ST42Q06",0.00632895437413773,0.00953721508024961,0.0118376841561127
"ST29Q04",0.00631680184425185,0.00795893525850015,0.0105625915395882
"ST29Q02",0.00624854048990015,0.0141229397913355,0.0136124752304644
"GENDER",0.00586342707181847,0.00953364691554174,0.0136641681743775
"ST42Q09",0.00585101311103702,0.00883615704171982,0.0113379856982855
"GEOLOC",0.00559455646278862,0.0087101490315929,0.0110105970535022
"ST42Q03",0.00523411892164559,0.00905182957789273,0.0104764366330663
"ST29Q07",0.00521765872519141,0.00981038110905408,0.0104936676143706
"ST43Q01",0.00478893486844752,0.00873377373502159,0.00875333850262773
