"GENDER","ESCS","STATE","GEOLOC","INDIG","ST29Q01","ST29Q03","ST29Q04","ST29Q06","ST29Q02","ST29Q05","ST29Q07","ST29Q08","ST42Q02","ST42Q04","ST42Q06","ST42Q07","ST42Q09","ST37Q01","ST37Q02","ST37Q03","ST37Q04","ST37Q05","ST37Q06","ST37Q07","ST37Q08","ST91Q01","ST91Q02","ST91Q03","ST91Q04","ST91Q05","ST91Q06","ST43Q01","ST43Q02","ST43Q03","ST43Q04","ST43Q05","ST43Q06","ST44Q01","ST44Q03","ST44Q04","ST44Q05","ST44Q07","ST44Q08","ST42Q01","ST42Q03","ST42Q05","ST42Q08","ST42Q10","ST35Q01","ST35Q02","ST35Q03","ST35Q04","ST35Q05","ST35Q06"
0,1963.11,50.58,12.58,0,41.04,10.35,0,0.88,22.96,0.67,0.27,0.27,3.18,0,0,0,10.58,4.19,0,0,0,0,33.32,4.57,0,0,3.41,0,6.62,0,0.86,0,0,0,5.52,0,0,9.12,5.19,0,10.34,0,11.2,0,0,0.33,0,10,1.81,0.57,0,0.07,0.23,1.02
0,0,7236.7,39.08,624.09,30.43,65.29,19.27,17.39,1.01,15.64,25.97,3025.73,337.18,105.01,350.2,161.01,5.44,517.95,486.22,1939.29,90.03,3015.13,145.87,346.71,108.41,47.73,336.86,38.93,196.36,5399.96,345.03,3.8,116.39,412.48,53.94,329.88,428.59,88.76,236.93,44.64,31.98,1141.91,14.25,5.12,24.68,256.25,112.96,187.76,35.5,86.73,1807.34,226.57,39.02,494.63
0,0,0,179.48,7126.58,36.11,2602.88,42.34,47.37,42.12,1372.34,326.47,112.22,49.1,67.12,46.96,175.71,77.02,225.18,248.84,108.91,267.28,221.76,140.84,133.63,217.6,163.07,140.7,144.84,70.7,408.9,361.67,67.97,305.47,1548.01,588.28,35.19,41.87,590.49,248.65,46,549.34,141.72,124.03,77.99,20.52,106.75,41.12,299.55,10.4,127.52,408.91,88.91,107.29,25.6
0,0,0,0,20944.38,3.28,0,0,2.02,29.98,19.17,0,0.67,0.8,14.2,0,1.3,0,2.08,0,0.72,3.13,5.35,4.36,0.23,195.69,0,9.63,4.68,0,0,292.62,0,0,15.61,1.85,0,7.53,1020.43,1.38,0,0,109.33,0,0.63,2.51,115.05,0,0,0.64,1.46,18.75,9.77,0.25,30.09
0,0,0,0,0,10.79,12.72,0,0,0.59,0.81,28.49,0,247.46,12.2,2.43,2.61,1.19,750.53,523.7,404.64,178.55,646.6,1764.08,287.61,23.19,27.55,46.21,1.42,61.8,268.81,201.26,0,57.08,45.38,20.64,0,3.29,0,50.4,0,7.43,46.36,14.5,0,0,48.5,259.56,13.55,0,9.63,120.55,5.81,0,9.77
0,0,0,0,0,0,17.33,0,6.98,7.51,17.66,0.79,2.18,0,0.59,7.61,9.84,0,10.78,0,17.86,672.41,5,2.15,27.06,17.63,0,127.3,48.07,180.28,0.88,0,0,7.27,0,74.3,22.32,0.18,40.54,0.35,367.28,3.54,12.03,26.59,2.86,8.09,22.42,17.69,0.11,13.58,2.8,10.85,8.69,24.43,17.82
0,0,0,0,0,0,0,93.32,7.61,0.55,278.7,16.33,4.63,44.57,5.63,12.14,10.76,0.67,8.85,1.63,1.05,2.65,3.8,2.01,7.16,468.25,0,5.94,27.51,166.46,15.68,0.18,0,0.11,59.14,584.35,68.97,10.33,12.81,16.77,0,0,0.78,33.94,2.65,10.28,11.51,391.51,0,3.66,21.81,0.1,10.17,9.01,4.62
0,0,0,0,0,0,0,0,0,0,31.45,0,0,9.43,0,12.72,0,9.37,0,0.89,2.66,0,0.55,0,23.28,2.12,0,13.72,0,0,6.3,0,0.25,0.15,0,2.69,62.21,45.16,0,0,0,0,0,0.5,0,0,0,283.08,0,0.03,0,0,3.62,1.45,0
0,0,0,0,0,0,0,0,0,0,82.06,0.76,15.06,0,7.66,0,4.75,0,0,2.15,0,2.42,8.84,9.95,4.84,0,0.64,7.75,3.25,7.64,19.74,17.56,0,0,4.97,9.66,25.66,5.35,6.2,0,0,0,11.76,49.35,1.16,1.7,4.78,0,2.82,0,11.35,25.47,3.29,2.43,0
0,0,0,0,0,0,0,0,0,0,1564.97,4.65,0,1.7,2.3,1.16,16.47,0.67,0,0,10.85,15.45,0,0.4,1.49,7.18,0,5.52,0,3.23,0,1.34,0.18,10,0,0,0,1.6,2.88,0,1.82,8.07,7.71,0,0,4.86,0.67,0.37,4.56,0,0,0.55,1.11,0,50.35
0,0,0,0,0,0,0,0,0,0,0,2.75,248.65,3.32,6.57,13.9,18.05,8.33,9.53,5.23,0,0,1.22,0.18,0.42,13.06,22.26,2.35,16.95,1.55,0.13,1.13,11.02,13.07,5.54,3.45,251.18,0,88.48,17.75,0.24,1.86,44.36,22.15,1.33,14.58,12.73,4.03,23.89,8.43,3.14,68.73,20.41,51.44,7.32
0,0,0,0,0,0,0,0,0,0,0,0,38.36,0,5.86,9.36,18.75,0,0,0,1.65,0,0,0,0,0,0,7.14,0,0,0,4.57,0.03,2,0,0,0,0,3.56,0,7.97,0.36,0.49,0,0,0,3.08,7.81,11.28,11,16.31,0,22.4,12.27,32.24
0,0,0,0,0,0,0,0,0,0,0,0,0,16.85,18.04,42.53,13.63,8,32.8,2.97,0.8,11.97,18.94,8.87,16.57,0.42,3.02,12.79,64.62,8.41,30.12,32.53,0.32,23.38,23.75,3.46,160.55,0,4.93,16.71,0.24,6.55,28.12,57.49,0.65,0,11.88,6.18,102.95,19.18,2.08,25.1,58.29,0,12.61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.03,158.64,24.76,7.97,75.21,771.65,27.23,628.25,14.8,85.09,19.87,0,24.2,1.12,0.02,232.21,13.1,4.6,0,5.2,33.16,346.71,15.69,0.94,37.69,0,0,1.24,15.23,18.8,5.42,0,185.44,1.88,35.65,20.02,74.59,0,0,0.11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,13.21,14.07,0,38.94,8.44,0,35.49,1.19,0,44.66,22.36,42.52,5.98,30.5,8.75,5.83,43.3,1.19,7.05,31.5,14.06,107.6,0,16.77,3.34,180.32,15.53,0,57.58,438.05,8.63,30.88,6.57,12.34,16.13,1.42,18.39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29,0,12.94,1.77,2.59,1.52,0,48.76,36.52,12.9,0,13.83,5.87,4.77,0,0,1.38,11.64,2.32,10.53,22.83,23.74,0.85,35.37,4.55,56.47,0,1.94,15.72,0,15.12,45.45,0.04,3.93,1.28,1.38,24.38,1.28,6.09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,7.67,36.96,6.93,8.02,0.78,5.31,85.26,154.46,0,76.91,4.79,172.1,186.45,135.16,72.03,25.4,1.22,4.84,99.58,465.88,270.17,4.23,3.06,7.04,7.62,3.63,133.43,4.13,424.56,3930.12,7.39,1.43,0.66,27.7,26.77,6.72,39.65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,12.75,12.65,34.46,59.52,12.14,0,3.15,4.56,0,0,9.73,5.18,0,3.83,10.22,3.19,1.95,36.57,2.6,4.12,0.08,0.96,68.26,15.9,0,173.92,1.67,6.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,0.02,3.45,165.67,11.74,18.39,5.7,62.69,6.77,25.14,180.62,17.89,60.46,0,2.4,23.43,0.23,0.29,9.4,14.96,42.73,0,0,1.26,50.14,0,0,28.18,14.35,2.51,9.74,1.03,115.34,4.21,5.5,15.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.38,77.84,3542.81,236.57,12.72,10.47,44.16,0.77,4.92,15.69,126.1,151.35,0,0.33,0.3,1.04,0,35.56,35.7,40.61,5.91,0,3.29,28.94,0.95,0,1.55,37.31,0,0,3.21,117.14,0,9.29,4.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,1171.16,54.16,7.52,0,45.76,0,7.54,3.88,22.82,56.44,0,0,80.68,0,5.56,684.85,0,5.08,0.73,0,16.55,6.79,0,0.01,26.4,2255.7,0.97,0,0,102.82,0,0,10.89
