"var1.index","var1.names","var2.index","var2.names","int.size"
5,"INDIG",4,"GEOLOC",12996.47
21,"ST37Q03",2,"ESCS",4048.57
23,"ST37Q05",20,"ST37Q02",3884.07
5,"INDIG",3,"STATE",3803.83
52,"ST35Q03",2,"ESCS",2174.48
31,"ST91Q05",2,"ESCS",1705.58
23,"ST37Q05",2,"ESCS",1688.43
48,"ST42Q08",17,"ST42Q07",1646.98
24,"ST37Q06",5,"INDIG",1371.32
48,"ST42Q08",21,"ST37Q03",1343.15
31,"ST91Q05",3,"STATE",1205.97
40,"ST44Q03",34,"ST43Q02",1188.57
53,"ST35Q04",31,"ST91Q05",1180.35
3,"STATE",2,"ESCS",1048.25
52,"ST35Q03",36,"ST43Q04",1031.8
23,"ST37Q05",21,"ST37Q03",928.68
23,"ST37Q05",22,"ST37Q04",918.37
48,"ST42Q08",23,"ST37Q05",914.96
7,"ST29Q03",3,"STATE",903.78
21,"ST37Q03",14,"ST42Q02",831.99
23,"ST37Q05",5,"INDIG",820.72
38,"ST43Q06",24,"ST37Q06",803.63
21,"ST37Q03",5,"INDIG",729.91
51,"ST35Q02",3,"STATE",708.5
32,"ST91Q06",31,"ST91Q05",656.94
22,"ST37Q04",6,"ST29Q01",643.6
14,"ST42Q02",5,"INDIG",634.87
31,"ST91Q05",5,"INDIG",629.11
40,"ST44Q03",36,"ST43Q04",622.49
32,"ST91Q06",3,"STATE",590.57
48,"ST42Q08",7,"ST29Q03",569.52
35,"ST43Q03",29,"ST91Q03",552.64
48,"ST42Q08",39,"ST44Q01",541.78
35,"ST43Q03",3,"STATE",529.5
39,"ST44Q01",4,"GEOLOC",527.91
38,"ST43Q06",21,"ST37Q03",521.37
32,"ST91Q06",5,"INDIG",508.48
23,"ST37Q05",14,"ST42Q02",490.02
52,"ST35Q03",24,"ST37Q06",483.96
13,"ST29Q08",2,"ESCS",445.68
38,"ST43Q06",17,"ST42Q07",432.17
32,"ST91Q06",20,"ST37Q02",424.09
24,"ST37Q06",3,"STATE",404.54
44,"ST44Q08",40,"ST44Q03",392.83
14,"ST42Q02",2,"ESCS",391.97
20,"ST37Q02",5,"INDIG",391.39
52,"ST35Q03",3,"STATE",359.09
36,"ST43Q04",7,"ST29Q03",338.66
52,"ST35Q03",19,"ST37Q01",332.9
5,"INDIG",2,"ESCS",327.42
31,"ST91Q05",14,"ST42Q02",322.5
52,"ST35Q03",47,"ST42Q05",300
32,"ST91Q06",23,"ST37Q05",278.01
44,"ST44Q08",39,"ST44Q01",276.1
47,"ST42Q05",21,"ST37Q03",270.52
17,"ST42Q07",2,"ESCS",259.26
4,"GEOLOC",3,"STATE",254.94
38,"ST43Q06",15,"ST42Q04",253.2
40,"ST44Q03",2,"ESCS",250.95
14,"ST42Q02",6,"ST29Q01",227.97
32,"ST91Q06",24,"ST37Q06",222.82
47,"ST42Q05",31,"ST91Q05",222.67
32,"ST91Q06",21,"ST37Q03",218.87
20,"ST37Q02",2,"ESCS",214.72
52,"ST35Q03",35,"ST43Q03",206.62
38,"ST43Q06",2,"ESCS",204.23
23,"ST37Q05",19,"ST37Q01",204.12
25,"ST37Q07",2,"ESCS",203.79
19,"ST37Q01",5,"INDIG",200.69
24,"ST37Q06",20,"ST37Q02",192.14
38,"ST43Q06",23,"ST37Q05",191.15
52,"ST35Q03",21,"ST37Q03",188.91
22,"ST37Q04",2,"ESCS",188.2
47,"ST42Q05",23,"ST37Q05",184.19
40,"ST44Q03",37,"ST43Q05",179.11
40,"ST44Q03",35,"ST43Q03",177.48
48,"ST42Q08",8,"ST29Q04",176.41
52,"ST35Q03",22,"ST37Q04",175.56
13,"ST29Q08",11,"ST29Q05",173.96
19,"ST37Q01",2,"ESCS",172.75
15,"ST42Q04",2,"ESCS",171.5
32,"ST91Q06",22,"ST37Q04",167.21
28,"ST91Q02",5,"INDIG",167.01
22,"ST37Q04",3,"STATE",163.53
13,"ST29Q08",3,"STATE",163.14
34,"ST43Q02",2,"ESCS",158.23
48,"ST42Q08",2,"ESCS",151.17
39,"ST44Q01",35,"ST43Q03",147.87
52,"ST35Q03",15,"ST42Q04",146.74
34,"ST43Q02",11,"ST29Q05",146.65
30,"ST91Q04",6,"ST29Q01",142.63
37,"ST43Q05",5,"INDIG",142.59
48,"ST42Q08",15,"ST42Q04",141.34
42,"ST44Q05",34,"ST43Q02",139.6
48,"ST42Q08",3,"STATE",138.59
11,"ST29Q05",10,"ST29Q02",135.19
39,"ST44Q01",37,"ST43Q05",134.63
40,"ST44Q03",5,"INDIG",131.99
37,"ST43Q05",36,"ST43Q04",127.11
42,"ST44Q05",3,"STATE",122.73
30,"ST91Q04",7,"ST29Q03",122.5
52,"ST35Q03",38,"ST43Q06",117.48
43,"ST44Q07",40,"ST44Q03",117.46
35,"ST43Q03",2,"ESCS",116.64
22,"ST37Q04",21,"ST37Q03",114.6
30,"ST91Q04",19,"ST37Q01",113.98
52,"ST35Q03",23,"ST37Q05",113.55
22,"ST37Q04",20,"ST37Q02",113.49
40,"ST44Q03",15,"ST42Q04",111.64
33,"ST43Q01",17,"ST42Q07",111.37
20,"ST37Q02",3,"STATE",111.03
24,"ST37Q06",2,"ESCS",109.5
26,"ST37Q08",7,"ST29Q03",108.49
35,"ST43Q03",34,"ST43Q02",107.4
33,"ST43Q01",2,"ESCS",106.09
27,"ST91Q01",19,"ST37Q01",104.69
48,"ST42Q08",20,"ST37Q02",102.2
47,"ST42Q05",2,"ESCS",100.73
47,"ST42Q05",17,"ST42Q07",100.67
48,"ST42Q08",25,"ST37Q07",99.42
30,"ST91Q04",17,"ST42Q07",98.67
24,"ST37Q06",14,"ST42Q02",96.45
27,"ST91Q01",3,"STATE",95.49
19,"ST37Q01",3,"STATE",93.19
48,"ST42Q08",22,"ST37Q04",92.4
7,"ST29Q03",2,"ESCS",89.92
31,"ST91Q05",30,"ST91Q04",89.36
24,"ST37Q06",23,"ST37Q05",89.13
8,"ST29Q04",7,"ST29Q03",88.77
53,"ST35Q04",13,"ST29Q08",83.19
15,"ST42Q04",3,"STATE",83.17
55,"ST35Q06",2,"ESCS",82.89
38,"ST43Q06",31,"ST91Q05",82.12
25,"ST37Q07",5,"INDIG",81.31
44,"ST44Q08",13,"ST29Q08",81.05
50,"ST35Q01",32,"ST91Q06",80
22,"ST37Q04",5,"INDIG",78.87
17,"ST42Q07",3,"STATE",78.1
44,"ST44Q08",42,"ST44Q05",77
52,"ST35Q03",31,"ST91Q05",75.42
31,"ST91Q05",17,"ST42Q07",74.95
39,"ST44Q01",3,"STATE",73.9
6,"ST29Q01",3,"STATE",73.42
38,"ST43Q06",20,"ST37Q02",72.94
52,"ST35Q03",34,"ST43Q02",70.72
52,"ST35Q03",30,"ST91Q04",69.91
36,"ST43Q04",6,"ST29Q01",69.35
33,"ST43Q01",31,"ST91Q05",68.99
14,"ST42Q02",3,"STATE",68.35
43,"ST44Q07",2,"ESCS",68.12
43,"ST44Q07",34,"ST43Q02",67.7
